,5010,true
balas,18,true
pecah,18,true
berbalik,18,true
menyanyikan,18,true
sekitarnya,18,true
penurunan,17,false
sunda,17,true
juni,17,false
setelahnya,17,true
seraya,17,false
panduan,17,false
deh,17,false
persatuan,17,true
pesantren,17,false
perubahan,17,true
seminggu,17,true
terdiam,17,true
pengaruh,17,true
bergetar,17,true
pipinya,17,true
tanganku,17,true
selamat,17,true
bingung,17,true
perhatian,17,true
penasaran,17,true
anjing,17,true
sumber,17,true
mengenakan,17,true
berjudul,17,true
menyatakan,17,true
hadir,17,true
sukses,17,true
jabatan,17,true
rambutnya,17,true
keputusan,17,true
bersih,17,true
afrika,17,true
berulang,17,true
terpaku,17,true
alat,17,true
memenuhi,17,true
barisan,17,true
huruf,17,true
gulungan,17,true
tembok,17,true
penjaga,17,true
pengalaman,17,true
radio,17,true
gembira,17,true
mengerikan,17,true
situasi,17,true
kesan,17,true
ombak,17,true
minat,17,true
ka,17,true
nelayan,17,true
borek,17,true
dahan-dahan,17,true
bintang,17,true
azan,17,true
menyimpan,17,true
pahit,17,true
kopi,17,true
hal-hal,17,true
motor,17,true
lakukan,17,true
hewan,17,true
batavia,16,false
kongres,16,false
bella,16,false
rio,16,false
kurasa,16,true
pembangunan,16,false
rt,16,false
meraih,16,false
masakan,16,true
pejuang,16,true
bandung,16,true
tunggu,16,true
dipimpin,16,true
selanjutnya,16,true
remaja,16,true
merdeka,16,true
menolak,16,true
botol,16,true
menyentuh,16,true
bukanlah,16,true
kataku,16,true
beranjak,16,true
asal,16,true
nyaris,16,true
prajurit,16,true
menghampiri,16,true
berambut,16,true
titik,16,true
mengajar,16,true
mengunjungi,16,true
hanyalah,16,true
teriakan,16,true
pikirannya,16,true
setuju,16,true
kasihan,16,true
kuno,16,true
pendek,16,true
ekspresi,16,true
membosankan,16,true
berikutnya,16,true
telinga,16,true
sikap,16,true
hancur,16,true
menyenangkan,16,true
menceritakan,16,true
kain,16,true
dilihat,16,true
alami,16,true
batas,16,true
minggu,16,true
bahan,16,true
lembah,16,true
sok,16,true
otak,16,true
tarian,16,true
rumah-rumah,16,true
laskar,16,true
ukuran,16,true
nun,16,true
ganas,16,true
sakti,16,true
akar,16,true
kawanan,16,true
karung,16,true
tumpukan,16,true
maut,16,true
marching,16,true
kursi,16,true
bahu,16,true
tipis,16,true
damai,16,true
burung-burung,16,true
sekuat,16,true
teriak,16,false
nyaring,16,true
nusa,15,false
serikat,15,false
perlawanan,15,false
ndan,15,false
periode,15,false
pertanian,15,false
masehi,15,false
terbentuk,15,false
peperangan,15,false
setempat,15,false
adam,15,true
komik,15,false
sejumlah,15,false
khususnya,15,true
peta,15,true
peristiwa,15,true
sebanyak,15,true
kabur,15,true
runtuh,15,true
busana,15,true
modern,15,true
menghilang,15,true
menunjuk,15,true
memasukkan,15,true
daratan,15,true
hak,15,true
sepak,15,true
kucing,15,true
ditambah,15,true
kasar,15,true
ular,15,true
harga,15,true
merebut,15,true
kemungkinan,15,true
dengar,15,true
menghabiskan,15,true
danau,15,true
basah,15,true
tatapan,15,true
kemari,15,true
kabut,15,true
pesawat,15,true
betapa,15,true
mirip,15,true
persahabatan,15,true
kira-kira,15,true
kilometer,15,true
mantan,15,true
sela-sela,15,true
pendapat,15,true
sesak,15,true
of,15,true
gemetar,15,true
permainan,15,true
kaleng,15,true
senyap,15,true
berusia,15,true
memberiku,15,true
datuk,15,true
karet,15,true
gaib,15,true
mengesankan,15,true
surga,15,true
asa,15,true
